Video,Views,
Rahat Fateh Ali Khan - Zaroori Tha,"223,802,405",
BTS (방탄소년단) 'DNA' Official MV,"223,283,518",
"Pop Smoke - For The Night (Audio) ft. Lil Baby, DaBaby","223,000,304",
Simone & Simaria - Foi Pá Pum,"222,602,998",
#AlaVaikunthapurramuloo - ButtaBomma Full Video Song (4K) | Allu Arjun | Thaman S | Armaan Malik,"222,119,178",
Main Jis Din Bhulaa Du: Rochak Kohli Jubin Nautiyal Tulsi Kumar Manoj Muntashir Himansh Kohli Sneha,"222,048,922",
"Full Song: O SAKI SAKI | Batla House | Nora Fatehi, Tanishk B,Neha K,Tulsi K, B Praak,Vishal-Shekhar","219,774,601",
"MC Don Juan, MC Davi e MC Pedrinho - Bipolar (GR6 Explode) DJ 900","219,757,296",
Ariana Grande - positions (official video),"218,992,479",
BLACKPINK - 'Lovesick Girls' M/V,"218,771,949",
Nirvana - Smells Like Teen Spirit (Official Music Video),"218,672,982",
Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,"216,303,586",
Cangote - Zé Vaqueiro (Video Oficial),"215,702,499",
Justin Timberlake - Mirrors (Official Video),"215,212,019",
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"214,792,407",
"Não Pode Se Apaixonar - Xand Avião, Mc Danny, Dj Ivis","214,581,273",
Adele - Easy On Me (Official Video),"214,370,014",
Sean Kingston - Beautiful Girls (Official HD Video),"214,032,896",
Taylor Swift - Blank Space,"213,806,554",
Yo Ya No Vuelvo Contigo - (Video Oficial) - Lenin Ramirez ft. Grupo Firme,"212,903,998",
Michael Jackson - Billie Jean (Official Video),"211,945,660",
BTS (방탄소년단) 'FAKE LOVE' Official MV,"211,721,514",
"Aventura, Bad Bunny - Volví (Video Oficial)","211,688,493",
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)","211,542,289",
Rauw Alejandro & Camilo - Tattoo Remix (Video Oficial),"211,325,281",
"Teri Aankhon Mein Song: Divya K | Darshan R, Neha K | Pearl V Manan B | Radhika, Vinay | Bhushan K","211,172,861",
Travis Scott - SICKO MODE ft. Drake,"211,139,695",
The Weeknd - Blinding Lights (Official Video),"210,982,056",
"Tiago PZK, LIT killah - Entre Nosotros (Video Oficial)","210,017,328",
NATHY PELUSO || BZRP Music Sessions #36,"209,731,430",
a-ha - Take On Me (Official Video) [Remastered in 4K],"209,531,610",
@TonyKakkar - Tera Suit | Aly Goni & Jasmin Bhasin | Anshul Garg | Holi Song 2021,"209,168,077",
L-GANTE RKT - L-GANTE FT PAPU DJ 🍑 (Videoclip Oficial),"208,977,030",
BAD BUNNY - CALLAÍTA (Video Oficial),"207,500,998",
"Wisin, Jhay Cortez, Los Legendarios - ""Fiel"" (Official Video)","206,961,444",
Cardi B - Up [Official Music Video],"206,662,243",
Numb (Official Music Video) [4K UPGRADE] – Linkin Park,"205,943,106",
Rag'n'Bone Man - Human (Official Video),"205,122,606",
Ranjha – Official Video | Shershaah | Sidharth–Kiara | B Praak | Jasleen Royal | Romy | Anvita Dutt,"204,569,284",
Eminem - Love The Way You Lie ft. Rihanna,"204,267,851",
"TWICE ""Alcohol-Free"" M/V","203,968,090",
Sakhiyan2.0 | Akshay Kumar | Vaani Kapoor |BellBottom| Tanishk B | Babbu | Maninder Buttar| Zara K,"203,505,834",
Harry Styles - Sign of the Times (Official Video),"203,328,499",
"Sandese Aate Hai - HD Video | Border | Sunny Deol, Suniel Shetty | Best Patriotic Hindi Song","202,974,571",
John Legend - All of Me (Official Video),"202,707,533",
