Justin Bieber - Sorry (PURPOSE : The Movement),"1,653,575,227","112,824,268,711"
Fifth Harmony - Work from Home (Official Video) ft. Ty Dolla $ign,"1,254,423,519",
"Calvin Harris, Rihanna - This Is What You Came For (Official Video) ft. Rihanna","1,124,933,937",
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"1,007,669,444",
Adele - Hello (Official Music Video),"965,091,367",
The Chainsmokers - Closer (Lyric) ft. Halsey,"951,870,286",
22. Hasta el Amanecer - Nicky Jam | Video Oficial,"916,593,838",
Justin Bieber - Love Yourself (PURPOSE : The Movement),"901,028,323",
Justin Bieber - What Do You Mean?,"884,457,709",
Alan Walker - Faded,"846,779,205",
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),"834,271,155",
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"830,088,847",
Rihanna - Work (Explicit) ft. Drake,"811,095,256",
Drake - Hotline Bling,"783,450,515",
twenty one pilots: Stressed Out [OFFICIAL VIDEO],"752,913,526",
Joey Montana - Picky,"745,115,567",
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),"731,076,009",
Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul,"715,721,907",
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),"709,684,868",
Fifth Harmony - Worth It (Official Video) ft. Kid Ink,"703,472,563",
Maroon 5 - Sugar (Official Music Video),"702,011,121",
Daddy Yankee - Shaky Shaky (Video Oficial),"675,679,646",
ZAYN - PILLOWTALK,"660,711,225",
Coldplay - Hymn For The Weekend (Official Video),"641,716,824",
Silentó - Watch Me (Whip/Nae Nae) (Official),"619,919,543",
Ariana Grande ft. Nicki Minaj - Side To Side (Official Video) ft. Nicki Minaj,"612,573,224",
"Carlos Vives, Shakira - La Bicicleta","608,149,355",
"Enrique Iglesias - Bailando (Español) ft. Descemer Bueno, Gente De Zona","592,870,590",
Calvin Harris & Disciples - How Deep Is Your Love,"590,512,736",
Taylor Swift - Shake It Off,"576,670,557",
Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video),"563,166,887",
Charlie Puth - We Don't Talk Anymore (feat. Selena Gomez) [Official Video],"561,729,745",
Shawn Mendes - Stitches (Official Music Video),"553,968,375",
Shawn Mendes - Treat You Better,"545,617,523",
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],"544,805,567",
Maluma - El Perdedor (Official Video),"538,412,457",
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,"534,689,050",
Taylor Swift - Blank Space,"529,904,654",
Ed Sheeran - Thinking Out Loud (Official Music Video),"520,228,610",
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,"514,152,689",
